team_name,team_id
Chennai Super Kings,0
Deccan Chargers,1
Delhi Capitals,2
Delhi Daredevils,3
Gujarat Giants,4
Gujarat Lions,5
Gujarat Titans,6
Kings XI Punjab,7
Kochi Tuskers Kerala,8
Kolkata Knight Riders,9
Lucknow Super Giants,10
Mumbai Indians,11
Pune Warriors,12
Punjab Kings,13
Rajasthan Royals,14
Rising Pune Supergiant,15
Rising Pune Supergiants,16
Royal Challengers Bangalore,17
Royal Challengers Bengaluru,18
Sunrisers Hyderabad,19
UP Warriorz,20
